Person No,Predicted Personality.
1,lively
2,dependable
3,serious
4,dependable
5,serious
6,lively
7,extraverted
8,lively
9,responsible
10,serious
11,dependable
12,responsible
13,extraverted
14,serious
15,responsible
16,dependable
17,lively
18,serious
19,extraverted
20,dependable
21,serious
22,serious
23,extraverted
24,dependable
25,responsible
26,lively
27,serious
28,dependable
29,dependable
30,responsible
31,lively
32,responsible
33,serious
34,dependable
35,responsible
36,responsible
37,lively
38,serious
39,responsible
40,dependable
41,lively
42,serious
43,dependable
44,lively
45,extraverted
46,responsible
47,dependable
48,lively
49,lively
50,extraverted
51,dependable
52,serious
53,serious
54,extraverted
55,responsible
56,dependable
57,dependable
58,lively
59,responsible
60,serious
61,lively
62,extraverted
63,dependable
64,extraverted
65,extraverted
66,serious
67,responsible
68,dependable
69,extraverted
70,extraverted
71,serious
72,extraverted
73,serious
74,responsible
75,serious
76,dependable
77,extraverted
78,dependable
79,serious
80,extraverted
81,serious
82,serious
83,lively
84,extraverted
85,responsible
86,dependable
87,extraverted
88,responsible
89,lively
90,lively
91,dependable
92,lively
93,lively
94,responsible
95,responsible
96,lively
97,lively
98,extraverted
99,extraverted
100,serious
101,extraverted
102,responsible
103,extraverted
104,extraverted
105,serious
106,responsible
107,responsible
108,responsible
109,dependable
110,serious
111,serious
112,extraverted
113,serious
114,extraverted
115,responsible
116,extraverted
117,responsible
118,dependable
119,lively
120,extraverted
121,lively
122,lively
123,serious
124,extraverted
125,serious
126,extraverted
127,serious
128,serious
129,serious
130,lively
131,dependable
132,serious
133,responsible
134,extraverted
135,extraverted
136,extraverted
137,lively
138,serious
139,responsible
140,dependable
141,responsible
142,lively
143,dependable
144,serious
145,dependable
146,responsible
147,serious
148,extraverted
149,lively
150,serious
151,serious
152,extraverted
153,dependable
154,dependable
155,responsible
156,lively
157,serious
158,extraverted
159,extraverted
160,dependable
161,extraverted
162,serious
163,serious
164,extraverted
165,serious
166,serious
167,responsible
168,serious
169,responsible
170,serious
171,serious
172,responsible
173,responsible
174,responsible
175,responsible
176,serious
177,responsible
178,dependable
179,serious
180,serious
181,dependable
182,dependable
183,serious
184,extraverted
185,lively
186,responsible
187,lively
188,dependable
189,responsible
190,dependable
191,responsible
192,extraverted
193,responsible
194,responsible
195,responsible
196,extraverted
197,responsible
198,dependable
199,responsible
200,serious
201,serious
202,responsible
203,lively
204,serious
205,extraverted
206,serious
207,serious
208,serious
209,dependable
210,responsible
211,dependable
212,serious
213,lively
214,serious
215,dependable
216,serious
217,dependable
218,lively
219,serious
220,extraverted
221,serious
222,extraverted
223,dependable
224,extraverted
225,serious
226,lively
227,responsible
228,lively
229,serious
230,lively
231,serious
232,serious
233,extraverted
234,responsible
235,serious
236,extraverted
237,responsible
238,serious
239,serious
240,extraverted
241,responsible
242,lively
243,serious
244,serious
245,extraverted
246,extraverted
247,dependable
248,responsible
249,dependable
250,lively
251,dependable
252,responsible
253,dependable
254,dependable
255,serious
256,responsible
257,responsible
258,lively
259,lively
260,serious
261,responsible
262,responsible
263,responsible
264,responsible
265,lively
266,serious
267,serious
268,dependable
269,serious
270,extraverted
271,lively
272,lively
273,lively
274,responsible
275,dependable
276,dependable
277,serious
278,extraverted
279,extraverted
280,lively
281,serious
282,serious
283,responsible
284,extraverted
285,serious
286,extraverted
287,extraverted
288,lively
289,extraverted
290,serious
291,lively
292,responsible
293,serious
294,dependable
295,extraverted
296,extraverted
297,responsible
298,dependable
299,responsible
300,extraverted
301,dependable
302,responsible
303,serious
304,dependable
305,extraverted
306,extraverted
307,extraverted
308,dependable
309,lively
310,serious
311,serious
312,extraverted
313,serious
314,extraverted
315,serious
