Person No,Predicted Personality.
1,extraverted
2,serious
3,serious
4,serious
5,serious
6,serious
7,serious
8,serious
9,serious
10,serious
11,serious
12,serious
13,serious
14,serious
15,serious
16,serious
17,serious
18,serious
19,serious
20,serious
21,serious
22,extraverted
23,serious
24,serious
25,serious
26,serious
27,serious
28,extraverted
29,serious
30,serious
31,serious
32,responsible
33,serious
34,responsible
35,serious
36,serious
37,serious
38,serious
39,serious
40,serious
41,serious
42,serious
43,serious
44,serious
45,serious
46,serious
47,serious
48,serious
49,serious
50,extraverted
51,serious
52,serious
53,serious
54,serious
55,serious
56,extraverted
57,serious
58,serious
59,serious
60,serious
61,serious
62,serious
63,serious
64,serious
65,serious
66,serious
67,serious
68,serious
69,serious
70,serious
71,serious
72,serious
73,serious
74,serious
75,serious
76,serious
77,serious
78,serious
79,serious
80,serious
81,serious
82,serious
83,serious
84,extraverted
85,serious
86,serious
87,serious
88,serious
89,serious
90,serious
91,serious
92,serious
93,serious
94,serious
95,serious
96,serious
97,serious
98,extraverted
99,serious
100,serious
101,extraverted
102,serious
103,extraverted
104,extraverted
105,serious
106,serious
107,serious
108,extraverted
109,serious
110,serious
111,serious
112,serious
113,serious
114,serious
115,serious
116,serious
117,serious
118,serious
119,serious
120,extraverted
121,serious
122,serious
123,serious
124,serious
125,serious
126,serious
127,serious
128,serious
129,serious
130,serious
131,serious
132,serious
133,serious
134,serious
135,serious
136,serious
137,serious
138,serious
139,serious
140,serious
141,serious
142,serious
143,serious
144,serious
145,serious
146,serious
147,serious
148,serious
149,serious
150,serious
151,serious
152,serious
153,extraverted
154,serious
155,serious
156,serious
157,extraverted
158,serious
159,serious
160,serious
161,extraverted
162,serious
163,serious
164,serious
165,serious
166,serious
167,serious
168,extraverted
169,serious
170,serious
171,serious
172,serious
173,serious
174,serious
175,serious
176,serious
177,serious
178,serious
179,serious
180,serious
181,serious
182,serious
183,serious
184,serious
185,extraverted
186,serious
187,serious
188,extraverted
189,extraverted
190,serious
191,serious
192,extraverted
193,serious
194,serious
195,serious
196,serious
197,serious
198,serious
199,serious
200,serious
201,serious
202,serious
203,serious
204,serious
205,serious
206,serious
207,serious
208,serious
209,serious
210,serious
211,serious
212,extraverted
213,extraverted
214,extraverted
215,serious
216,serious
217,extraverted
218,serious
219,serious
220,serious
221,serious
222,serious
223,serious
224,serious
225,serious
226,extraverted
227,serious
228,extraverted
229,serious
230,serious
231,serious
232,serious
233,serious
234,serious
235,serious
236,serious
237,serious
238,extraverted
239,serious
240,serious
241,serious
242,serious
243,extraverted
244,serious
245,serious
246,extraverted
247,serious
248,serious
249,serious
250,serious
251,serious
252,extraverted
253,serious
254,serious
255,serious
256,serious
257,serious
258,extraverted
259,serious
260,serious
261,serious
262,serious
263,serious
264,serious
265,serious
266,serious
267,serious
268,serious
269,serious
270,serious
271,extraverted
272,serious
273,extraverted
274,serious
275,serious
276,serious
277,extraverted
278,extraverted
279,serious
280,serious
281,serious
282,serious
283,serious
284,serious
285,serious
286,serious
287,serious
288,serious
289,serious
290,extraverted
291,extraverted
292,serious
293,serious
294,serious
295,extraverted
296,extraverted
297,serious
298,serious
299,extraverted
300,serious
301,serious
302,serious
303,serious
304,serious
305,serious
306,serious
307,serious
308,serious
309,serious
310,serious
311,serious
312,serious
313,serious
314,extraverted
315,serious
